Borough,Month,Year,Cars_And_Taxis,Buses_and_Coaches,Motorbikes,HGVs,LGVs,no2
Bexley,7,2018,606.7291666666666,13.604166666666666,11.270833333333334,13.854166666666666,107.58333333333333,19.87405165541667
Bexley,7,2019,505.0833333333333,4.0,7.458333333333333,17.041666666666668,99.75,16.787034318291663
Bexley,7,2020,4141.375,7.875,68.875,426.125,1208.5,26.133837247125
Bexley,7,2021,2362.0833333333335,79.83333333333333,39.666666666666664,107.41666666666667,414.5,6.877000107500002
Bexley,9,2018,886.1666666666666,15.63888888888889,11.875,61.06944444444444,182.56944444444446,24.629438289124998
Bexley,9,2019,512.1846153846154,2.6153846153846154,5.861538461538461,38.56923076923077,123.4,17.79315184032308
Bexley,9,2020,440.8611111111111,7.444444444444445,6.138888888888889,13.38888888888889,67.25,17.416020985777777
Bexley,9,2021,326.1041666666667,5.875,5.375,10.541666666666666,50.125,21.983180413416665
Bexley,10,2018,825.4,9.615384615384615,9.784615384615385,44.815384615384616,174.4923076923077,38.2572540766923
Bexley,10,2019,1404.3333333333333,29.966666666666665,20.366666666666667,132.0,396.8333333333333,22.606643292266664
Bexley,10,2020,190.83333333333334,0.0,1.4166666666666667,2.8333333333333335,28.666666666666668,16.34890249733333
Bexley,10,2021,626.2916666666666,6.833333333333333,7.541666666666667,17.666666666666668,110.41666666666667,15.751647702749999
City of London,4,2018,886.3333333333334,123.33333333333333,86.16666666666667,37.75,278.1666666666667,74.53792088000002
City of London,4,2020,201.16666666666666,51.083333333333336,43.666666666666664,15.25,85.5,24.294238715833334
City of London,5,2019,565.6666666666666,53.625,95.5,37.083333333333336,231.0,77.15592922041665
City of London,5,2021,398.4166666666667,40.166666666666664,26.0,18.125,118.54166666666667,37.52818520458333
City of London,6,2020,198.33333333333334,20.5,23.375,24.291666666666668,99.875,49.02078286124999
City of London,6,2021,146.33333333333334,2.3333333333333335,21.583333333333332,33.166666666666664,89.08333333333333,27.4642971075
City of London,7,2019,146.91666666666666,19.666666666666668,41.083333333333336,15.583333333333334,77.33333333333333,98.13107956500001
City of London,7,2020,457.0,28.916666666666668,79.16666666666667,61.166666666666664,212.58333333333334,18.622035875
City of London,7,2021,448.0,25.75,63.75,97.79166666666667,278.5833333333333,34.79463139791667
City of London,9,2019,622.5,57.94444444444444,117.36111111111111,96.91666666666667,344.5833333333333,58.47548845611113
City of London,10,2018,654.75,39.875,114.625,83.375,281.5833333333333,72.49456446708334
City of London,10,2019,331.6666666666667,61.25,41.833333333333336,24.75,137.0,54.46213307833333
City of London,10,2020,276.0833333333333,27.333333333333332,38.75,31.083333333333332,105.75,40.20779226916666
Croydon,3,2018,70.0,0.0,0.5416666666666666,0.8333333333333334,11.458333333333334,42.23107126083333
Croydon,3,2019,572.1818181818181,6.090909090909091,12.818181818181818,16.484848484848484,119.66666666666667,28.723639316060613
Croydon,3,2021,1003.0,4.0,28.083333333333332,44.25,209.58333333333334,43.05548909583334
Croydon,4,2018,417.5833333333333,9.333333333333334,7.527777777777778,3.5277777777777777,56.25,36.21215075555554
Croydon,4,2019,551.2222222222222,9.25,14.88888888888889,11.027777777777779,108.5,48.17555231888888
