Borough,borough_id
Barking and Dagenham,1
City of London,2
Croydon,3
Ealing,4
Greenwich,5
Hackney,6
Havering,7
Islington,8
Kingston Upon Thames,9
Lambeth,10
Lewisham,11
Redbridge,12
Richmond Upon Thames,13
Sutton,14
Wandsworth,15
