Borough,Date,All_Vehicles
Barking and Dagenham,2018,47.83364453440567
Barking and Dagenham,2019,47.705226452494905
Barking and Dagenham,2020,120.34743837419383
Barking and Dagenham,2021,116.73364358566042
Bexley,2018,47.04848513327782
Bexley,2019,50.914695013010586
Bexley,2020,84.18860063144592
Bexley,2021,105.85352852412474
City of London,2018,17.128489039732056
City of London,2019,13.64362373731719
City of London,2020,13.50835677338284
City of London,2021,19.305974931062277
Croydon,2018,13.651050897358406
Croydon,2019,17.589628563402844
Croydon,2020,22.239635792654152
Croydon,2021,19.183997618579017
Ealing,2018,29.19216709884651
Ealing,2019,32.148974014131454
Ealing,2020,76.53513592423008
Ealing,2021,67.58936107381064
Enfield,2018,52.32768766119475
Enfield,2019,84.10661558412262
Enfield,2020,119.78085170410881
Enfield,2021,121.66570214733173
Greenwich,2018,34.121693317793174
Greenwich,2019,49.06231956050798
Greenwich,2020,70.42691333066641
Greenwich,2021,80.7747226638238
Hackney,2018,16.24309396817914
Hackney,2019,11.596390306547159
Hackney,2020,31.181268112149198
Hackney,2021,32.412807079164054
Haringey,2018,23.82475432549908
Haringey,2019,21.21540298260927
Haringey,2020,20.953387977107585
Haringey,2021,15.04171171014397
Havering,2018,29.495465492446336
Havering,2019,28.80273744139693
Havering,2020,62.15677377188886
Havering,2021,57.8914716975651
Islington,2018,16.083481140327166
Islington,2019,10.704954707396586
Islington,2020,29.79064154393014
Islington,2021,37.724103955952636
Lambeth,2018,13.054668497659348
Lambeth,2019,8.448415562541756
Lambeth,2020,17.70288909548642
Lambeth,2021,20.7901421257075
Lewisham,2018,18.885176742846184
Lewisham,2019,9.914863852593657
Lewisham,2020,19.330579636808658
Lewisham,2021,24.161285354941395
Redbridge,2018,25.088284262080077
Redbridge,2019,68.66498914127196
Redbridge,2020,66.72738476927523
Redbridge,2021,71.08300229215095
Southwark,2018,28.31843175701517
Southwark,2019,14.376656023479583
Southwark,2020,31.248888183879828
Southwark,2021,29.835565284999962
Sutton,2018,9.45068132957879
Sutton,2019,9.75111354996416
Sutton,2020,15.44654257588279
Sutton,2021,11.39489398732533
Wandsworth,2018,18.020961646988184
Wandsworth,2019,14.666965111577992
Wandsworth,2020,24.890264732387077
Wandsworth,2021,34.005083413632406
Westminster,2018,9.951230978331244
Westminster,2019,15.955227436270855
Westminster,2020,28.40888850731757
Westminster,2021,51.209214707106796
